id,title,date,guid,name,objectType,physicalDescription,place,setName,topic
ld1-1643398775873-1643398785328-1,"Rhubarb U.S.P., Powdered Extract, No. 55",1928,http://n2t.net/ark:/65665/ng49ca746a5-4336-704b-e053-15f76fa0b4fa,"['Parke, Davis and Company']","['Rhubarb U.S.P.', 'pharmaceutical', 'Rhubarb U.S.P.; Pharmaceuticals; Drugs; Non-Liquid']","['rhubarb (drug active ingredients)', 'overall: 15.5 cm x 6 cm; 6 1/8 in x 2 3/8 in', 'overall: 6 1/4 in x 2 1/4 in; 15.875 cm x 5.715 cm']","['United States: Michigan, Detroit', 'United States: Michigan, Detroit']",['Medicine and Science: Medicine'],
ld1-1643398775873-1643398788557-2,Dial Ciba,,http://n2t.net/ark:/65665/ng49ca746a5-421b-704b-e053-15f76fa0b4fa,,"['Dial Ciba', 'pharmaceutical', 'otc preparation', 'Dial Ciba; Pharmaceuticals; Drugs; Non-Liquid']",['overall: 4 in x 2 1/4 in x 1 5/8 in; 10.16 cm x 5.715 cm x 4.1275 cm'],,"['Medicine and Science: Medicine', 'Balm of America']",
ld1-1643398986850-1643398997508-0,PILL DE CINOGL OSS,ca 1600,http://n2t.net/ark:/65665/ng49ca746a8-8bff-704b-e053-15f76fa0b4fa,,['jar'],"['ceramic (overall material)', 'overall: 12 cm x 12 cm; 4 23/32 in x 4 23/32 in']","['Italy: Emilia-Romagna, Faenza']","['Medicine and Science: Medicine', 'Health & Medicine', 'European Apothecary', 'Art']",['Pharmacy']
ld1-1643398986850-1643398998098-0,"Prescription Label, Apotheke in Siegenvon Eduard Polthoff",,http://n2t.net/ark:/65665/ng49ca746ad-29ea-704b-e053-15f76fa0b4fa,,['prescription label'],,,"['Medicine and Science: Medicine', 'European Apothecary', 'Religion', 'Art']",['Pharmacy']
ld1-1643399134763-1643399187270-0,Infants' Advil Concentrated Drops,,http://n2t.net/ark:/65665/ng49ca746ad-a4de-704b-e053-15f76fa0b4fa,,"['pharmaceutical', 'otc preparation']","['box: 4 5/8 in x 2 3/8 in x 1 3/8 in; 11.7475 cm x 6.0325 cm x 3.4925 cm', 'bottle: 2 7/8 in x 1 1/4 in; 7.3025 cm x 3.175 cm', 'syringe: 3 1/2 in; 8.89 cm']",,['Medicine and Science: Medicine'],
ld1-1643398775873-1643398784172-0,Blaud Compressed Tablets,,http://n2t.net/ark:/65665/ng49ca746ab-767d-704b-e053-15f76fa0b4fa,"['John Wyeth & Brothers, Inc.']","['otc preparation', 'pharmaceutical']","['overall: 10.8 cm x 3.8 cm x 3.8 cm; 4 1/4 in x 1 1/2 in x 1 1/2 in', 'overall: 4 1/8 in x 1 1/2 in x 1 1/2 in; 10.4775 cm x 3.81 cm x 3.81 cm']","['United States: Pennsylvania, Philadelphia']",['Medicine and Science: Medicine'],
ld1-1643399134763-1643399178638-1,"Thyro-Ovarian Co. , No. 4.",,http://n2t.net/ark:/65665/ng49ca746aa-a3f3-704b-e053-15f76fa0b4fa,"['Harrower Laboratory, Inc.', 'Harrower Laboratory']","['pharmaceutical', 'Drugs']",['overall: 2 3/4 in x 3 1/4 in x 1 1/8 in; 6.985 cm x 8.255 cm x 2.8575 cm'],"['United States: California, Glendale']",['Medicine and Science: Medicine'],
ld1-1643398775873-1643398783741-0,"Arsenicum Iodat., 2X",,http://n2t.net/ark:/65665/ng49ca746ad-601b-704b-e053-15f76fa0b4fa,['Boericke & Tafel'],"['homeopathic preparation, bottle of', 'pharmaceutical', 'poison', 'homeopathic preparation']","['arsenic iodide (drug active ingredients)', 'overall: 5 1/4 in x 1 5/8 in x 1 5/8 in; 13.335 cm x 4.1275 cm x 4.1275 cm']","['United States: Pennsylvania, Philadelphia']",['Medicine and Science: Medicine'],
ld1-1643399055209-1643399105407-0,Essential Embrocation Oil,1988,http://n2t.net/ark:/65665/ng49ca746a9-c350-704b-e053-15f76fa0b4fa,,"['Patent Medicine', 'Patent Medicine; Pharmaceutical; Liquid']","['menthol crystals (overall material)', 'camphor (overall material)', 'pepperming oil (overall material)', 'eucalyptus oil (overall material)', 'green (overall color)', 'red (overall color)', 'black (overall color)', 'white (overall color)', 'gold (overall color)', 'overall: 6.2 cm x 3.6 cm x 1.1 cm; 2 7/16 in x 1 7/16 in x 7/16 in']",,['Medicine and Science: Pharmacy'],
ld1-1643399414441-1643399431043-0,Lewis Flemer Pb Acet.,,http://n2t.net/ark:/65665/ng49ca746a5-2dff-704b-e053-15f76fa0b4fa,,"['pharmaceutical', 'Acetate', 'Acetate; Pharmaceuticals; Drugs; Non-Liquid']",['overall: 3 3/8 in x 2 in; 8.5725 cm x 5.08 cm'],,['Medicine and Science: Medicine'],
ld1-1643398775873-1643398790910-0,EXT. bellad,,http://n2t.net/ark:/65665/ng49ca746a5-57c7-704b-e053-15f76fa0b4fa,,"['Jar', 'Jar; Pharmaceuticals; Containers; Pharmaceutical Container']","['monochrome, white (overall surface decoration color name)', 'ceramic (overall material)', 'steeple (lid shape)', 'overall: 6 1/2 in x 2 15/16 in; 16.51 cm x 7.46125 cm']",,['Medicine and Science: Medicine'],
ld1-1643398986850-1643399013836-1,"Sulfanilamide, 100 Veterinary Tablets",1938-1951,http://n2t.net/ark:/65665/ng49ca746a9-c588-704b-e053-15f76fa0b4fa,"['Detroit Veterinary Supply Company', 'Detroit Veterinary Supply Company']","['Pharmaceutical', 'pharmaceutical, veterinary', 'Pharmaceutical; Pharmaceutical; Veterinary Product; Tablet']","['sulfanilamide (overall material)', 'white (overall color)', 'overall: 22 cm x 9 cm x 6.5 cm; 8 21/32 in x 3 17/32 in x 2 9/16 in']","['United States: Michigan, Detroit']",['Medicine and Science: Pharmacy'],
ld1-1643399134763-1643399188277-0,Budwell's Emulsion No. 1 Cod Liver Oil,ca 1910-1915,http://n2t.net/ark:/65665/ng49ca746ab-97fa-704b-e053-15f76fa0b4fa,['Budwell Pharmacal Company'],"['Nutritional Product', 'Cod Liver Oil']","['cod liver oil, 50% (drug active ingredients)', 'Iodide of arsenic, 1/40 grain per Tbsp (drug active ingredients)', 'Iodide of calcium, 1/4 grain per Tbsp (drug active ingredients)', 'Iodide of manganese, 1/8 grain per Tbsp (drug active ingredients)', 'box: 7 in x 3 1/8 in x 2 1/8 in; 17.78 cm x 7.9375 cm x 5.3975 cm', 'bottle: 8 1/4 in x 3 1/8 in x 2 1/8 in; 20.955 cm x 7.9375 cm x 5.3975 cm']","['United States: Virginia, Lynchburg']","['Medicine and Science: Medicine', 'Balm of America']","['Indigestion & Nausea Drugs', 'Tonics, Minerals & Vitamins', 'Rheumatism & Arthritis Drugs']"
ld1-1643399055209-1643399096569-1,"----, ?",,http://n2t.net/ark:/65665/ng49ca746a9-6d52-704b-e053-15f76fa0b4fa,,"['Homeopathic Preparation, Vial of', 'Homeopathic Preparation, Vial of; Pharmaceutical; Pellets']","['? (overall material)', 'white (overall color)', 'overall: 5 cm x 1.5 cm; 1 31/32 in x 19/32 in']",,['Medicine and Science: Medicine'],
ld1-1643399055209-1643399069738-1,"Tincture of Asafetida, 4oz",,http://n2t.net/ark:/65665/ng49ca746a0-dee3-704b-e053-15f76fa0b4fa,['George L. Chaflin Company'],"['pharmaceutical', 'Drugs']","['overall: 12.5 cm x 4.8 cm; 4 15/16 in x 1 7/8 in', 'overall: 5 in x 2 in; 12.7 cm x 5.08 cm']",,['Medicine and Science: Medicine'],
ld1-1643399055209-1643399096459-0,"Gelsemium, 77M",,http://n2t.net/ark:/65665/ng49ca746a9-8f30-704b-e053-15f76fa0b4fa,,"['Homeopathic Preparation, Vial of', 'Homeopathic Preparation, Vial of; Pharmaceutical; Pellets']","['yellow jessamine (overall material)', 'beige (overall color)', 'overall: 5.9 cm x 1.6 cm; 2 5/16 in x 5/8 in']",,['Medicine and Science: Medicine'],
ld1-1643398986850-1643398997945-0,CORNU CERVIUS,1775 - 1799,http://n2t.net/ark:/65665/ng49ca746ad-117f-704b-e053-15f76fa0b4fa,,"['jar', 'Pharmaceutical Container']","['ceramic (overall material)', 'overall: 16 cm x 10.2 cm; 6 5/16 in x 4 in']",['Germany'],"['Medicine and Science: Medicine', 'European Apothecary', 'Health & Medicine', 'Art']",['Pharmacy']
ld1-1643399134763-1643399184245-0,Nordette Oral Contraceptive,1994,http://n2t.net/ark:/65665/ng49ca746ab-7592-704b-e053-15f76fa0b4fa,['Wyeth-Ayerst Laboratories'],"['contraceptive, oral']","['levonorgestrel, 0.15 mg (drug active ingredients)', 'ethinyl estradiol, 30 mcg (drug active ingredients)', 'plastic (sleeve material)', 'plastic (blister pack material)', 'aluminum foil (blister pack material)', 'paper (leaflets material)', 'overall: 18.33 cm x 5.85 cm x .5 cm; 7 3/16 in x 2 5/16 in x 3/16 in', 'overall: 7 1/4 in x 2 1/4 in x 1/4 in; 18.415 cm x 5.715 cm x .635 cm']","['United States: Pennsylvania, Philadelphia']","['Medicine and Science: Medicine', 'Health & Medicine', 'Birth Control']","['Birth Control/Contraception', ""Women's Health""]"
ld1-1643398775873-1643398790047-1,Menthol U.S.P.,,http://n2t.net/ark:/65665/ng49ca746a5-5f88-704b-e053-15f76fa0b4fa,,"['Menthol', 'pharmaceutical', 'Menthol; Pharmaceuticals; Drugs; Non-Liquid']",['overall: 3 1/2 in x 1 5/8 in; 8.89 cm x 4.1275 cm'],,['Medicine and Science: Medicine'],
ld1-1643399414441-1643399443896-1,Wyeth's Iodine Petrogen,,http://n2t.net/ark:/65665/ng49ca746a5-67f3-704b-e053-15f76fa0b4fa,,"['otc preparation', 'pharmaceutical', 'Patent Medicines; Drugs; Liquid']",['overall: 4 5/8 in x 1 5/8 in x 1 1/4 in; 11.7475 cm x 4.1275 cm x 3.175 cm'],,['Medicine and Science: Medicine'],
ld1-1643398912743-1643398928314-0,Potassium Iodide,,http://n2t.net/ark:/65665/ng49ca746ad-abb0-704b-e053-15f76fa0b4fa,,['pharmaceutical'],['overall: 5 3/4 in x 5 3/4 in x 9 1/4 in; 14.605 cm x 14.605 cm x 23.495 cm'],,['Medicine and Science: Medicine'],
ld1-1643399486815-1643399520632-1,UNGT. POMAT.,1800 - 1899,http://n2t.net/ark:/65665/ng49ca746a5-5224-704b-e053-15f76fa0b4fa,,"['Drug Jar', 'jar', 'Drug Jar; ""Standard Jar""; Pharmaceuticals; Containers']","['monochrome, white (overall surface decoration color name)', 'ceramic (overall material)', 'flat (lid shape)', 'overall: 6 7/16 in x 4 5/16 in; 16.35125 cm x 10.95375 cm']",,['Medicine and Science: Medicine'],
ld1-1643398775873-1643398783319-0,"Apium Virus, 6X",1975,http://n2t.net/ark:/65665/ng49ca746a6-ad51-704b-e053-15f76fa0b4fa,['Boericke & Tafel'],"['Homeopathic Preparation, Bottle of', 'Homeopathic Preparation, Bottle of; Pharmaceutical; Pellets']",['overall: 12.5 cm x 4.5 cm x 4.5 cm; 4 29/32 in x 1 25/32 in x 1 25/32 in'],"['United States: Pennsylvania, Philadelphia']",['Medicine and Science: Medicine'],
ld1-1643399414441-1643399451883-0,Calomel Wintergreen Flavor,,http://n2t.net/ark:/65665/ng49ca746a5-4a6c-704b-e053-15f76fa0b4fa,,"['pharmaceutical', 'Pharmaceuticals; Drugs; Non-Liquid']",['overall: 5 1/8 in x 2 1/8 in x 1 1/4 in; 13.0175 cm x 5.3975 cm x 3.175 cm'],,['Medicine and Science: Medicine'],
ld1-1643399134763-1643399178717-0,"Bromide of Strontium, 1 Ounce",,http://n2t.net/ark:/65665/ng49ca746aa-a2c1-704b-e053-15f76fa0b4fa,,"['Pharmaceutical', 'pharmaceutical', 'Pharmaceutical; Drugs']","['strontium bromide (overall material)', 'overall: 2 1/4 in x 1 3/8 in; 5.715 cm x 3.4925 cm']","['France: Île-de-France, Paris']",['Medicine and Science: Medicine'],
ld1-1643399055209-1643399080577-0,Norwich Foot Powder,ca 1926,http://n2t.net/ark:/65665/ng49ca746a5-6af8-704b-e053-15f76fa0b4fa,['Norwich Pharmacal Company'],"['personal hygiene product', 'powder, foot', '?; otc preparation; Patent Medicines; Drugs']",['overall: 6 1/8 in x 2 3/8 in x 1 1/4 in; 15.5575 cm x 6.0325 cm x 3.175 cm'],"['United States: New York, Norwich']","['Medicine and Science: Medicine', 'Health & Medicine', 'Beauty and Hygiene Products: Feet', 'Beauty and Health']",
ld1-1643398775873-1643398789072-0,Jar,1800 - 1899,http://n2t.net/ark:/65665/ng49ca746a8-777d-704b-e053-15f76fa0b4fa,,"[""Jar, Men's Healh"", 'jar', 'Jar, Men\'s Healh; ""Standard Jar""; Pharmaceuticals; Containers']","['monochrome, white (overall surface decoration color name)', 'ceramic (overall material)', 'metal (lid material)', 'overall: 4 in x 2 5/8 in; 10.16 cm x 6.6675 cm']",,['Medicine and Science: Medicine'],
ld1-1643399414441-1643399463063-0,Deltasone Prednisone Tablets Dosepak,,http://n2t.net/ark:/65665/ng49ca746a5-7080-704b-e053-15f76fa0b4fa,,"['pharmaceutical', 'Pharmaceuticals; Drugs; Non-Liquid']",['overall: 3/8 in x 4 3/4 in x 3 3/4 in; .9525 cm x 12.065 cm x 9.525 cm'],,['Medicine and Science: Medicine'],
ld1-1643398986850-1643399014872-0,Desoxyn Gradumet,,http://n2t.net/ark:/65665/ng49ca746ae-24c0-704b-e053-15f76fa0b4fa,['Abbott Laboratories'],['pharmaceutical'],['overall: 3 1/8 in x 1 1/8 in x 1 1/4 in; 7.9375 cm x 2.8575 cm x 3.175 cm'],,['Medicine and Science: Medicine'],
ld1-1643399055209-1643399096423-0,"Bryonia, 103M",,http://n2t.net/ark:/65665/ng49ca746a9-78cc-704b-e053-15f76fa0b4fa,,"['Homeopathic Preparation, Vial of', 'Homeopathic Preparation, Vial of; Pharmaceutical; Pellets']","['wild hops (overall material)', 'beige (overall color)', 'overall: 5.9 cm x 1.6 cm; 2 5/16 in x 5/8 in']",,['Medicine and Science: Medicine'],
ld1-1643399414441-1643399459642-0,Withrow No 11 Oxquino,,http://n2t.net/ark:/65665/ng49ca746a7-58ce-704b-e053-15f76fa0b4fa,,"['pharmaceutical', 'Patent Medicines; Drugs; Non-Liquid']","['overall: 7.7 cm x 3.3 cm; 3 1/16 in x 1 5/16 in', 'overall: 3 1/8 in x 1 3/8 in; 7.9375 cm x 3.4925 cm']",,['Medicine and Science: Medicine'],
ld1-1643399055209-1643399096351-0,"Ammonium Carb., 200",,http://n2t.net/ark:/65665/ng49ca746a9-6e0d-704b-e053-15f76fa0b4fa,,"['Homeopathic Preparation, Vial of', 'Homeopathic Preparation, Vial of; Pharmaceutical; Pellets']","['ammonium carbonate (overall material)', 'beige (overall color)', 'overall: 5.55 cm x 1.3 cm; 2 3/16 in x 1/2 in']",,['Medicine and Science: Medicine'],
ld1-1643399055209-1643399096467-1,"Helleborus, Cm",,http://n2t.net/ark:/65665/ng49ca746a9-8658-704b-e053-15f76fa0b4fa,,"['Homeopathic Preparation, Vial of', 'Homeopathic Preparation, Vial of; Pharmaceutical; Pellets']","['christmas rose (overall material)', 'beige (overall color)', 'overall: 5.9 cm x 1.6 cm; 2 5/16 in x 5/8 in']",,['Medicine and Science: Medicine'],
ld1-1643399414441-1643399431174-1,Strychnine Sulfate,,http://n2t.net/ark:/65665/ng49ca746a5-541f-704b-e053-15f76fa0b4fa,,"['Strychnine Sulfate', 'pharmaceutical', 'Strychnine Sulfate; Pharmaceuticals; Drugs; Non-Liquid']",['overall: 2 1/4 in x 1 in x 3/4 in; 5.715 cm x 2.54 cm x 1.905 cm'],,['Medicine and Science: Medicine'],
ld1-1643398986850-1643398998072-0,"Prescription Label, Apotheke v. G.P. Kroll in Saarlouis",,http://n2t.net/ark:/65665/ng49ca746ad-1603-704b-e053-15f76fa0b4fa,,['prescription label'],"['paper (overall material)', 'ink (overall material)', 'overall: 17.2 cm x 4 cm; 6 3/4 in x 1 9/16 in']",,"['Medicine and Science: Medicine', 'European Apothecary', 'Religion', 'Art']",['Pharmacy']
ld1-1643398986850-1643398997169-0,Mortar,,http://n2t.net/ark:/65665/ng49ca746ab-c1b3-704b-e053-15f76fa0b4fa,,"['mortar', 'mortar; MANUFACTURING & DISPENSING EQUIP.']","['bronze (overall material)', 'gothic (overall style)', 'overall: 18.4 cm x 19.5 cm x 16.7 cm; 7 1/4 in x 7 11/16 in x 6 9/16 in']",['Germany'],"['Medicine and Science: Medicine', 'European Apothecary', 'Religion', 'Art']",['Pharmacy']
ld1-1643398775873-1643398791081-0,Spring Lancet,,http://n2t.net/ark:/65665/ng49ca746ad-ecea-704b-e053-15f76fa0b4fa,,"['bloodletting', 'lancet']","['overall, case: 1 7/8 in x 3 in x 1 in; 4.7625 cm x 7.62 cm x 2.54 cm', 'overall, lancet: 2 1/4 in x 1 1/8 in x 3/8 in; 5.715 cm x 2.8575 cm x .9525 cm']",,['Medicine and Science: Medicine'],
ld1-1643398775873-1643398779944-1,P. ALOES,,http://n2t.net/ark:/65665/ng49ca746aa-1460-704b-e053-15f76fa0b4fa,,"['Jar', 'Jar; Pharmaceutical Container']","['ceramic (overall material)', 'blue (overall color)', 'overall: 5 1/16 in x 3 1/4 in; 12.85875 cm x 8.255 cm']",,['Medicine and Science: Pharmacy'],
ld1-1643399134763-1643399187327-0,Proventil HFA,,http://n2t.net/ark:/65665/ng49ca746ad-7f82-704b-e053-15f76fa0b4fa,,['pharmaceutical'],"['box: 3 7/8 in x 2 1/4 in x 1 3/8 in; 9.8425 cm x 5.715 cm x 3.4925 cm', 'inhaler: 3 1/8 in x 1 in x 2 1/8 in; 7.9375 cm x 2.54 cm x 5.3975 cm']",,['Medicine and Science: Medicine'],
ld1-1643399414441-1643399463303-0,"Lavender Comp., Fl. Extract",,http://n2t.net/ark:/65665/ng49ca746a5-48d6-704b-e053-15f76fa0b4fa,['Sharp and Dohme'],"['Lavender Comp., Fl. Extract', 'pharmaceutical', 'Lavender Comp., Fl. Extract; Pharmaceuticals; Drugs; Liquid']",['overall: 4 3/4 in x 2 in; 12.065 cm x 5.08 cm'],"['United States: Maryland, Baltimore']",['Medicine and Science: Medicine'],
ld1-1643398775873-1643398783130-0,"Natrum Muriatic, 2X",1975,http://n2t.net/ark:/65665/ng49ca746a9-989f-704b-e053-15f76fa0b4fa,['Boericke & Tafel'],"['Homeopathic Preparation, Bottle of', 'Homeopathic Preparation, Bottle of; Pharmaceutical; Tablet Triturate']","['sodium chloride (overall material)', 'label style f (overall style)', 'overall: 13.7 cm x 4.2 cm x 4.2 cm; 5 13/32 in x 1 21/32 in x 1 21/32 in']","['United States: Pennsylvania, Philadelphia']",['Medicine and Science: Medicine'],
ld1-1643399055209-1643399096517-1,Ptlea. Tri 20m,,http://n2t.net/ark:/65665/ng49ca746ad-6098-704b-e053-15f76fa0b4fa,,"['Homeopathic Preparation, Vial of', 'Homeopathic Preparation, Vial of; Pharmaceutical; Pellets']",['overall: 5.7 cm x 1.7 cm; 2 1/4 in x 21/32 in'],,['Medicine and Science: Medicine'],
ld1-1643398986850-1643398997657-0,Drug Jar,18th century,http://n2t.net/ark:/65665/ng49ca746a8-9d97-704b-e053-15f76fa0b4fa,,"['jar', 'jar; Pharmaceutical Container']","['ceramic (overall material)', 'overall: 19 cm x 12.5 cm; 7 1/2 in x 4 15/16 in']",['France'],"['Medicine and Science: Medicine', 'European Apothecary', 'Art']","['Pharmacy', 'Medicine']"
ld1-1643398775873-1643398784020-1,Buckley's Formocresol,,http://n2t.net/ark:/65665/ng49ca746a5-6d0a-704b-e053-15f76fa0b4fa,,"['pharmaceutical', 'Dentistry']","['box: 3 3/8 in x 1 3/4 in x 1 3/8 in; 8.5725 cm x 4.445 cm x 3.4925 cm', 'bottle: 3 1/8 in x 1 5/8 in x 1 1/4 in; 7.9375 cm x 4.1275 cm x 3.175 cm']","['United States: California, Burbank']",['Medicine and Science: Medicine'],
ld1-1643398775873-1643398788123-1,"Chloromycetin Crystals, 535X1A Tare(woc)",,http://n2t.net/ark:/65665/ng49ca746b5-0a85-704b-e053-15f76fa0b4fa,"['Parke, Davis and Company']","['Chloromycetin Crystals, 535X1A', 'pharmaceutical', 'biological', 'antibiotic', 'Chloromycetin Crystals, 535X1A; Pharmaceuticals; Drugs']",['overall: 1 1/2 in x 5/8 in; x 3.81 cm x 1.5875 cm'],"['United States: Michigan, Detroit']",['Medicine and Science: Medicine'],
ld1-1643399486815-1643399518652-1,"Hardhack, Fluid Extract of",,http://n2t.net/ark:/65665/ng49ca746a5-3b4b-704b-e053-15f76fa0b4fa,['Henry Thayer & Company'],"['Pharmaceutical', 'Spiraea Tomentosa; Pharmaceutical; Pharmaceuticals; Drugs; Liquid']",['overall: 10.8 cm x 5.2 cm; 4 1/4 in x 2 1/16 in'],"['United States: Massachusetts, Cambridgeport']",['Medicine and Science: Medicine'],
ld1-1643398775873-1643398788662-0,"Camoprima, Infatabs, An Antimalarial For Children, 100 Flavored Tablets",ca 1962,http://n2t.net/ark:/65665/ng49ca746a5-5854-704b-e053-15f76fa0b4fa,"['Parke, Davis and Company']","['pharmaceutical', 'Pharmaceuticals; Drugs; Non-Liquid']","['overall: 3 5/8 in x 2 in x 2 in; 9.2075 cm x 5.08 cm x 5.08 cm', 'overall: 2 3/8 in x 2 in; 6.0325 cm x 5.08 cm']","['United States: Michigan, Detroit']",['Medicine and Science: Medicine'],
ld1-1643398775873-1643398786129-1,Neutral Acriflavine,,http://n2t.net/ark:/65665/ng49ca746ad-9172-704b-e053-15f76fa0b4fa,,['pharmaceutical'],['overall: 5 1/8 in x 2 in; 13.0175 cm x 5.08 cm'],,['Medicine and Science: Medicine'],
ld1-1643398775873-1643398785830-0,"Ephedrine and Caffeine, Formula A, 2 cc.",,http://n2t.net/ark:/65665/ng49ca746ad-7ba2-704b-e053-15f76fa0b4fa,['Eli Lilly and Company'],"['pharmaceutical', 'Ephedrine and Caffeine', 'Ephedrine and Caffeine; Pharmaceuticals; Drugs; Liquid']",['overall: 2 1/2 in x 3/8 in; 6.35 cm x .9525 cm'],"['United States: Indiana, Indianapolis']",['Medicine and Science: Medicine'],
ld1-1643399414441-1643399463161-0,Podophyllin Compound,,http://n2t.net/ark:/65665/ng49ca746ab-f36a-704b-e053-15f76fa0b4fa,['Sharp and Dohme'],"['Podophyllin Compound Gelatin Coated Pills', 'pharmaceutical', 'Podophyllin Compound Gelatin Coated Pills; Pharmaceuticals; Drugs; Non-Liquid']",['overall: 3 1/8 in x 1 3/8 in x 7/8 in; 7.9375 cm x 3.4925 cm x 2.2225 cm'],"['United States: Maryland, Baltimore']",['Medicine and Science: Medicine'],
ld1-1643399414441-1643399468876-0,Hadacol,,http://n2t.net/ark:/65665/ng49ca746a5-8b3e-704b-e053-15f76fa0b4fa,,"['otc preparation', 'dietary supplement', 'Pharmaceuticals; Drugs; Liquid']","['bottle: 7 5/8 in x 2 3/4 in x 1 3/8 in; 19.3675 cm x 6.985 cm x 3.4925 cm', 'box: 8 in x 3 1/8 in x 1 1/2 in; 20.32 cm x 7.9375 cm x 3.81 cm']",,"['Medicine and Science: Medicine', 'Balm of America']",
